trip_id,season,daylight,duration_min,outside_temp_c,capacity,passenger_count,occupancy_pct,lighting_kWh_fixed,vent_kWh_fixed,hvac_kWh_fixed,total_aux_kWh_fixed,lighting_kWh_sensor,vent_kWh_sensor,hvac_kWh_sensor,total_aux_kWh_sensor,pct_savings
T00032,summer,1,28,23.74,200,62,31.0,1.633,1.4,0.493,3.526,0.765,0.994,0.848,2.608,26.05
T00033,autumn,0,50,11.23,200,49,24.5,5.0,2.5,1.642,9.142,1.817,1.613,1.964,5.393,41.01
T00034,winter,0,26,3.69,200,18,9.0,2.6,1.3,1.278,5.178,0.676,0.637,1.139,2.452,52.65
T00035,summer,0,30,22.5,200,2,1.0,3.0,1.5,0.448,4.948,0.62,0.615,0.301,1.536,68.96
T00036,winter,0,54,2.32,200,8,4.0,5.4,2.7,3.098,11.198,1.224,1.188,2.456,4.868,56.52
T00037,winter,0,51,-0.82,200,131,65.5,5.1,2.55,3.306,10.956,3.247,2.69,4.603,10.541,3.79
T00038,spring,1,13,15.67,200,89,44.5,0.758,0.65,0.302,1.71,0.472,0.549,0.561,1.582,7.47
T00039,summer,0,40,21.3,200,27,13.5,4.0,2.0,0.493,6.493,1.16,1.07,0.613,2.843,56.22
T00040,autumn,0,20,18.68,200,19,9.5,2.0,1.0,0.334,3.334,0.527,0.495,0.332,1.354,59.38
T00041,autumn,1,29,9.46,200,165,82.5,1.692,1.45,1.063,4.205,1.788,1.776,2.242,5.807,-38.09
T00042,winter,0,33,5.09,200,53,26.5,3.3,1.65,1.523,6.473,1.243,1.097,1.707,4.048,37.47
T00043,winter,0,28,-0.53,200,48,24.0,2.8,1.4,1.796,5.996,1.008,0.896,1.78,3.684,38.56
T00044,summer,1,33,26.71,200,117,58.5,1.925,1.65,0.793,4.368,1.507,1.625,1.724,4.856,-11.17
T00045,summer,1,29,31.57,200,46,23.0,1.692,1.45,1.103,4.245,0.638,0.913,1.214,2.765,34.86
T00046,summer,1,40,28.37,200,67,33.5,2.333,2.0,1.216,5.549,1.16,1.47,1.692,4.322,22.12
T00047,autumn,0,14,16.08,200,9,4.5,1.4,0.7,0.312,2.412,0.322,0.311,0.257,0.891,63.07
T00048,summer,0,45,15.78,200,0,0.0,4.5,2.25,1.034,7.784,0.9,0.9,0.731,2.531,67.49
T00049,autumn,1,32,12.19,200,105,52.5,1.867,1.6,0.984,4.451,1.333,1.48,1.738,4.551,-2.26
T00050,summer,0,33,19.14,200,0,0.0,3.3,1.65,0.518,5.468,0.66,0.66,0.332,1.652,69.78
T00051,summer,0,39,19.05,200,16,8.0,3.9,1.95,0.619,6.469,0.988,0.936,0.586,2.51,61.2
T00052,summer,1,24,24.98,200,62,31.0,1.4,1.2,0.487,3.087,0.656,0.852,0.781,2.289,25.83
T00053,winter,1,59,-0.57,200,121,60.5,3.442,2.95,3.79,10.182,2.773,2.965,5.112,10.849,-6.55
T00054,spring,1,34,4.75,200,73,36.5,1.983,1.7,1.594,5.277,1.054,1.3,1.984,4.339,17.78
T00055,winter,1,35,3.84,200,130,65.0,2.042,1.75,1.71,5.502,1.75,1.838,2.7,6.287,-14.28
T00056,spring,1,10,8.54,200,61,30.5,0.583,0.5,0.387,1.47,0.27,0.352,0.478,1.101,25.13
T00057,winter,0,28,10.33,200,30,15.0,2.8,1.4,0.974,5.174,0.84,0.77,0.986,2.596,49.82
T00058,summer,1,23,29.65,200,146,73.0,1.342,1.15,0.769,3.261,1.273,1.299,1.602,4.174,-27.99
T00059,winter,1,35,8.22,200,109,54.5,2.042,1.75,1.377,5.169,1.505,1.654,2.198,5.357,-3.63
T00060,winter,0,22,7.04,200,16,8.0,2.2,1.1,0.922,4.222,0.557,0.528,0.815,1.9,54.99
T00061,winter,0,33,4.97,200,3,1.5,3.3,1.65,1.531,6.481,0.693,0.685,1.219,2.597,59.93
T00062,winter,1,52,3.15,200,117,58.5,3.033,2.6,2.618,8.252,2.375,2.561,3.874,8.81,-6.76
T00063,summer,1,38,23.69,200,143,71.5,2.217,1.9,0.665,4.782,2.065,2.118,2.071,6.254,-30.8
T00064,winter,1,31,4.29,200,187,93.5,1.808,1.55,1.484,4.843,2.139,2.069,2.896,7.104,-46.7
T00065,autumn,1,53,9.22,200,76,38.0,3.092,2.65,1.971,7.712,1.696,2.067,2.706,6.469,16.12
T00066,summer,0,53,28.82,200,48,24.0,5.3,2.65,1.668,9.618,1.908,1.696,1.97,5.574,42.04
T00067,summer,1,37,22.74,200,82,41.0,2.158,1.85,0.571,4.579,1.258,1.498,1.275,4.031,11.97
T00068,summer,1,53,26.78,200,137,68.5,3.092,2.65,1.282,7.024,2.774,2.875,3.093,8.742,-24.47
T00069,spring,1,54,14.53,200,92,46.0,3.15,2.7,1.387,7.237,2.016,2.322,2.491,6.829,5.64
T00070,summer,0,21,23.67,200,47,23.5,2.1,1.05,0.366,3.516,0.749,0.667,0.539,1.954,44.42
T00071,autumn,1,32,12.55,200,76,38.0,1.867,1.6,0.959,4.426,1.024,1.248,1.439,3.711,16.16
T00072,winter,1,24,8.54,200,109,54.5,1.4,1.2,0.928,3.528,1.032,1.134,1.493,3.659,-3.72
T00073,winter,1,53,3.75,200,68,34.0,3.092,2.65,2.6,8.341,1.555,1.961,3.111,6.627,20.56
T00074,spring,0,34,7.03,200,39,19.5,3.4,1.7,1.426,6.526,1.122,1.011,1.495,3.629,44.39
T00075,winter,0,32,0.82,200,36,18.0,3.2,1.6,1.95,6.75,1.024,0.928,1.83,3.782,43.97
T00076,spring,1,21,18.4,200,103,51.5,1.225,1.05,0.363,2.638,0.861,0.961,0.889,2.711,-2.75
T00077,winter,0,38,7.21,200,69,34.5,3.8,1.9,1.578,7.278,1.634,1.415,2.0,5.05,30.62
T00078,spring,0,27,5.23,200,30,15.0,2.7,1.35,1.237,5.287,0.81,0.742,1.203,2.756,47.88
T00079,winter,0,23,1.58,200,19,9.5,2.3,1.15,1.36,4.81,0.606,0.569,1.159,2.333,51.49
T00080,summer,0,32,25.07,200,35,17.5,3.2,1.6,0.656,5.456,1.013,0.92,0.788,2.722,50.11
T00081,summer,1,37,23.58,200,160,80.0,2.158,1.85,0.639,4.647,2.22,2.22,2.198,6.638,-42.84
T00082,autumn,1,42,12.28,200,30,15.0,2.45,2.1,1.284,5.834,0.84,1.155,1.33,3.325,43.01
T00083,autumn,0,18,16.27,200,44,22.0,1.8,0.9,0.394,3.094,0.624,0.558,0.514,1.696,45.2
T00084,summer,0,14,22.14,200,16,8.0,1.4,0.7,0.198,2.298,0.355,0.336,0.19,0.881,61.68
T00085,spring,1,37,8.1,200,93,46.5,2.158,1.85,1.466,5.474,1.394,1.6,2.154,5.148,5.96
T00086,autumn,1,32,6.24,200,94,47.0,1.867,1.6,1.397,4.863,1.216,1.392,1.982,4.59,5.63
T00087,summer,1,47,29.42,200,121,60.5,2.742,2.35,1.547,6.638,2.209,2.362,2.883,7.453,-12.27
T00088,winter,0,33,3.44,200,23,11.5,3.3,1.65,1.64,6.59,0.913,0.85,1.51,3.273,50.34
T00089,summer,0,44,23.04,200,34,17.0,4.4,2.2,0.708,7.308,1.379,1.254,0.907,3.54,51.57
T00090,winter,0,14,1.86,200,147,73.5,1.4,0.7,0.818,2.918,0.966,0.795,1.262,3.022,-3.57
T00091,spring,1,47,13.05,200,47,23.5,2.742,2.35,1.358,6.449,1.05,1.492,1.661,4.203,34.83
T00092,spring,0,44,14.32,200,0,0.0,4.4,2.2,1.15,7.75,0.88,0.88,0.832,2.592,66.55
T00093,spring,1,51,10.08,200,79,39.5,2.975,2.55,1.801,7.326,1.683,2.027,2.57,6.28,14.29
T00094,winter,0,60,4.3,200,200,100.0,6.0,3.0,2.871,11.871,5.2,4.2,5.837,15.237,-28.35
T00095,spring,1,14,10.09,200,124,62.0,0.817,0.7,0.494,2.011,0.672,0.714,0.894,2.28,-13.39
T00096,winter,1,47,6.35,200,98,49.0,2.742,2.35,2.04,7.132,1.849,2.091,2.958,6.898,3.28
T00097,winter,0,34,2.86,200,13,6.5,3.4,1.7,1.907,7.007,0.827,0.79,1.565,3.183,54.58
T00098,summer,1,22,17.55,200,88,44.0,1.283,1.1,0.421,2.804,0.792,0.924,0.867,2.583,7.91
T00099,winter,0,35,2.4,200,100,50.0,3.5,1.75,2.001,7.251,1.867,1.575,2.601,6.042,16.67
T00100,autumn,1,28,19.49,200,62,31.0,1.633,1.4,0.418,3.452,0.765,0.994,0.785,2.544,26.29
T00101,summer,1,25,26.94,200,84,42.0,1.458,1.25,0.613,3.322,0.867,1.025,1.069,2.961,10.87
T00102,summer,1,34,18.57,200,86,43.0,1.983,1.7,0.576,4.259,1.201,1.411,1.255,3.868,9.19
T00103,summer,0,24,23.8,200,0,0.0,2.4,1.2,0.426,4.026,0.48,0.48,0.283,1.243,69.12
T00104,autumn,1,22,2.97,200,137,68.5,1.283,1.1,1.228,3.611,1.151,1.193,1.867,4.212,-16.64
T00105,autumn,0,21,8.28,200,7,3.5,2.1,1.05,0.824,3.974,0.469,0.457,0.674,1.599,59.75
T00106,summer,1,25,20.39,200,110,55.0,1.458,1.25,0.325,3.033,1.083,1.188,1.02,3.29,-8.49
T00107,spring,0,23,5.94,200,0,0.0,2.3,1.15,1.019,4.469,0.46,0.46,0.788,1.708,61.77
T00108,summer,1,31,25.22,200,88,44.0,1.808,1.55,0.645,4.003,1.116,1.302,1.265,3.683,8.01
T00109,winter,0,57,0.84,200,77,38.5,5.7,2.85,3.47,12.02,2.603,2.237,3.993,8.833,26.51
T00110,autumn,0,19,6.94,200,3,1.5,1.9,0.95,0.8,3.65,0.399,0.394,0.634,1.427,60.92
T00111,spring,1,23,5.05,200,22,11.0,1.342,1.15,1.063,3.555,0.46,0.586,0.978,2.024,43.06
T00112,spring,0,10,14.63,200,8,4.0,1.0,0.5,0.255,1.755,0.227,0.22,0.207,0.654,62.72
T00113,spring,1,31,4.47,200,55,27.5,1.808,1.55,1.472,4.83,0.775,1.046,1.658,3.479,27.98
T00114,autumn,1,44,9.99,200,105,52.5,2.567,2.2,1.563,6.329,1.833,2.035,2.567,6.436,-1.68
T00115,winter,1,34,4.66,200,136,68.0,1.983,1.7,1.6,5.283,1.768,1.836,2.632,6.236,-18.03
T00116,spring,1,34,11.81,200,135,67.5,1.983,1.7,1.074,4.757,1.757,1.827,2.177,5.761,-21.1
T00117,autumn,1,25,11.68,200,115,57.5,1.458,1.25,0.797,3.505,1.125,1.219,1.457,3.8,-8.42
T00118,spring,1,34,6.78,200,42,21.0,1.983,1.7,1.444,5.127,0.703,1.037,1.541,3.281,36.01
T00119,winter,0,32,2.09,200,11,5.5,3.2,1.6,1.853,6.653,0.757,0.728,1.5,2.985,55.13
T00120,summer,1,28,25.17,200,139,69.5,1.633,1.4,0.58,3.613,1.484,1.533,1.568,4.585,-26.91
T00121,spring,0,18,8.92,200,24,12.0,1.8,0.9,0.681,3.381,0.504,0.468,0.648,1.62,52.08
T00122,spring,1,36,12.75,200,26,13.0,2.1,1.8,1.063,4.963,0.72,0.954,1.065,2.739,44.81
T00123,winter,0,23,3.92,200,18,9.0,2.3,1.15,1.119,4.569,0.598,0.564,0.998,2.159,52.75
T00124,winter,0,20,5.94,200,32,16.0,2.0,1.0,0.886,3.886,0.613,0.56,0.877,2.051,47.22
T00125,winter,0,41,-1.66,200,158,79.0,4.1,2.05,2.74,8.89,2.979,2.44,4.116,9.535,-7.25
T00126,spring,0,38,13.92,200,16,8.0,3.8,1.9,1.027,6.727,0.963,0.912,0.929,2.804,58.32
T00127,autumn,1,40,13.03,200,36,18.0,2.333,2.0,1.157,5.49,0.8,1.16,1.283,3.243,40.94
T00128,summer,1,49,29.05,200,149,74.5,2.858,2.45,1.569,6.877,2.76,2.805,3.402,8.968,-30.4
T00129,winter,0,33,-5.13,200,37,18.5,3.3,1.65,2.479,7.429,1.067,0.965,2.276,4.308,42.01
T00130,autumn,1,19,8.83,200,190,95.0,1.108,0.95,0.723,2.781,1.33,1.282,1.634,4.246,-52.68
T00131,summer,0,55,31.97,200,27,13.5,5.5,2.75,2.144,10.394,1.595,1.471,2.014,5.08,51.12
T00132,winter,0,19,2.22,200,38,19.0,1.9,0.95,1.094,3.944,0.621,0.56,1.047,2.228,43.5
T00133,autumn,0,46,8.14,200,28,14.0,4.6,2.3,1.819,8.719,1.349,1.242,1.778,4.369,49.89
T00134,winter,0,42,9.28,200,155,77.5,4.2,2.1,1.556,7.856,3.01,2.467,3.135,8.613,-9.63
T00135,winter,1,22,-1.56,200,110,55.0,1.283,1.1,1.465,3.848,0.953,1.045,1.872,3.87,-0.56
T00136,winter,0,38,-1.79,200,22,11.0,3.8,1.9,2.552,8.252,1.039,0.969,2.196,4.204,49.05
T00137,autumn,0,10,10.33,200,47,23.5,1.0,0.5,0.348,1.848,0.357,0.317,0.403,1.078,41.69
T00138,winter,0,27,4.94,200,170,85.0,2.7,1.35,1.254,5.304,2.07,1.688,2.352,6.109,-15.18
T00139,winter,0,41,7.73,200,64,32.0,4.1,2.05,1.657,7.807,1.695,1.476,2.058,5.229,33.03
T00140,winter,1,38,6.21,200,117,58.5,2.217,1.9,1.661,5.778,1.735,1.871,2.618,6.224,-7.73
T00141,spring,1,45,21.79,200,84,42.0,2.625,2.25,0.602,5.477,1.56,1.845,1.499,4.904,10.46
T00142,summer,1,37,30.72,200,88,44.0,2.158,1.85,1.332,5.34,1.332,1.554,1.977,4.863,8.94
T00143,summer,0,32,23.01,200,45,22.5,3.2,1.6,0.513,5.313,1.12,1.0,0.763,2.883,45.73
T00144,summer,1,16,19.42,200,153,76.5,0.933,0.8,0.241,1.975,0.923,0.932,0.887,2.742,-38.86
T00145,spring,0,47,14.47,200,39,19.5,4.7,2.35,1.213,8.263,1.551,1.398,1.426,4.375,47.05
T00146,winter,0,47,4.04,200,51,25.5,4.7,2.35,2.275,9.325,1.739,1.539,2.494,5.772,38.1
T00147,winter,0,37,2.19,200,43,21.5,3.7,1.85,2.134,7.684,1.27,1.138,2.1,4.508,41.33
T00148,winter,1,23,5.29,200,77,38.5,1.342,1.15,1.051,3.543,0.744,0.903,1.347,2.993,15.51
T00149,winter,0,45,2.47,200,21,10.5,4.5,2.25,2.565,9.315,1.215,1.136,2.218,4.569,50.95
T00150,summer,0,60,34.0,200,31,15.5,6.0,3.0,2.628,11.628,1.82,1.665,2.507,5.992,48.47
T00151,summer,1,33,19.12,200,32,16.0,1.925,1.65,0.52,4.095,0.66,0.924,0.651,2.235,45.42
T00152,autumn,1,25,3.77,200,82,41.0,1.458,1.25,1.225,3.933,0.85,1.012,1.571,3.434,12.7
T00153,spring,1,33,13.06,200,164,82.0,1.925,1.65,0.953,4.528,2.024,2.013,2.324,6.361,-40.49
T00154,summer,0,40,19.55,200,22,11.0,4.0,2.0,0.592,6.592,1.093,1.02,0.637,2.75,58.28
T00155,spring,1,34,8.3,200,77,38.5,1.983,1.7,1.332,5.015,1.099,1.335,1.803,4.237,15.51
T00156,summer,1,43,16.02,200,53,26.5,2.508,2.15,0.965,5.624,1.046,1.43,1.363,3.839,31.74
T00157,winter,1,46,4.55,200,114,57.0,2.683,2.3,2.176,7.159,2.055,2.231,3.267,7.552,-5.49
T00158,summer,1,32,22.17,200,132,66.0,1.867,1.6,0.454,3.921,1.621,1.696,1.549,4.866,-24.11
T00159,summer,1,28,33.62,200,200,100.0,1.633,1.4,1.202,4.235,2.053,1.96,2.64,6.654,-57.11
T00160,autumn,1,43,1.86,200,165,82.5,2.508,2.15,2.513,7.171,2.652,2.634,4.12,9.405,-31.15
T00161,autumn,1,43,10.29,200,72,36.0,2.508,2.15,1.499,6.157,1.319,1.634,2.059,5.012,18.6
T00162,autumn,0,26,10.35,200,17,8.5,2.6,1.3,0.903,4.803,0.667,0.631,0.814,2.111,56.04
T00163,summer,1,49,25.27,200,128,64.0,2.858,2.45,1.025,6.333,2.417,2.548,2.592,7.557,-19.33
T00164,autumn,1,35,2.99,200,104,52.0,2.042,1.75,1.952,5.743,1.447,1.61,2.605,5.662,1.42
T00165,spring,0,35,1.99,200,36,18.0,3.5,1.75,2.035,7.285,1.12,1.015,1.923,4.058,44.3
T00166,spring,1,38,11.45,200,127,63.5,2.217,1.9,1.229,5.346,1.862,1.966,2.366,6.195,-15.88
T00167,winter,0,27,-1.73,200,29,14.5,2.7,1.35,1.809,5.859,0.801,0.736,1.617,3.154,46.17
T00168,spring,1,58,18.61,200,44,22.0,3.383,2.9,0.977,7.26,1.237,1.798,1.407,4.442,38.82
T00169,winter,0,34,4.72,200,24,12.0,3.4,1.7,1.596,6.696,0.952,0.884,1.486,3.322,50.39
T00170,summer,1,29,23.58,200,96,48.0,1.692,1.45,0.501,3.642,1.121,1.276,1.166,3.563,2.17
T00171,spring,0,34,10.81,200,40,20.0,3.4,1.7,1.148,6.248,1.133,1.02,1.27,3.423,45.2
T00172,summer,1,21,22.96,200,176,88.0,1.225,1.05,0.334,2.609,1.372,1.344,1.324,4.04,-54.84
T00173,spring,0,53,8.61,200,31,15.5,5.3,2.65,2.041,9.991,1.608,1.471,2.05,5.128,48.67
T00174,autumn,0,52,2.24,200,16,8.0,5.2,2.6,2.992,10.792,1.317,1.248,2.504,5.069,53.03
T00175,autumn,0,42,18.98,200,0,0.0,4.2,2.1,0.674,6.974,0.84,0.84,0.436,2.116,69.66
T00176,summer,0,31,20.67,200,40,20.0,3.1,1.55,0.384,5.034,1.033,0.93,0.597,2.561,49.13
T00177,summer,1,30,16.51,200,67,33.5,1.75,1.5,0.642,3.892,0.87,1.103,1.05,3.022,22.34
T00178,autumn,0,38,19.93,200,26,13.0,3.8,1.9,0.531,6.231,1.089,1.007,0.624,2.72,56.34
T00179,spring,1,23,5.91,200,157,78.5,1.342,1.15,1.02,3.512,1.357,1.363,1.873,4.593,-30.77
T00180,spring,0,11,15.48,200,27,13.5,1.1,0.55,0.26,1.91,0.319,0.294,0.274,0.887,53.56
T00181,spring,1,42,12.19,200,189,94.5,2.45,2.1,1.292,5.842,2.926,2.825,3.34,9.09,-55.61
T00182,summer,0,39,26.05,200,0,0.0,3.9,1.95,0.882,6.732,0.78,0.78,0.621,2.181,67.6
T00183,winter,1,37,-0.43,200,147,73.5,2.158,1.85,2.365,6.373,2.06,2.1,3.499,7.658,-20.16
T00184,summer,1,20,15.46,200,128,64.0,1.167,1.0,0.474,2.64,0.987,1.04,1.105,3.131,-18.6
T00185,summer,1,36,20.79,200,162,81.0,2.1,1.8,0.436,4.336,2.184,2.178,2.003,6.365,-46.8
T00186,summer,1,34,28.89,200,200,100.0,1.983,1.7,1.076,4.759,2.493,2.38,2.897,7.77,-63.26
T00187,summer,1,24,27.92,200,94,47.0,1.4,1.2,0.64,3.24,0.912,1.044,1.141,3.097,4.4
T00188,winter,0,34,1.09,200,10,5.0,3.4,1.7,2.05,7.15,0.793,0.765,1.649,3.207,55.15
T00189,spring,1,17,9.93,200,95,47.5,0.992,0.85,0.606,2.448,0.652,0.744,0.943,2.338,4.47
T00190,summer,1,13,21.68,200,117,58.5,0.758,0.65,0.171,1.579,0.594,0.64,0.559,1.793,-13.55
T00191,spring,0,24,15.16,200,18,9.0,2.4,1.2,0.584,4.184,0.624,0.588,0.547,1.759,57.96
T00192,winter,0,25,10.79,200,34,17.0,2.5,1.25,0.845,4.595,0.783,0.713,0.889,2.385,48.08
T00193,autumn,0,46,8.99,200,26,13.0,4.6,2.3,1.733,8.633,1.319,1.219,1.678,4.216,51.17
T00194,winter,1,44,3.0,200,87,43.5,2.567,2.2,2.453,7.219,1.569,1.837,3.039,6.445,10.72
T00195,winter,0,29,-1.97,200,24,12.0,2.9,1.45,1.959,6.309,0.812,0.754,1.704,3.27,48.17
T00196,winter,0,36,10.27,200,152,76.0,3.6,1.8,1.257,6.657,2.544,2.088,2.59,7.222,-8.48
T00197,autumn,1,45,22.48,200,117,58.5,2.625,2.25,0.669,5.544,2.055,2.216,2.002,6.273,-13.14
T00198,summer,1,36,32.94,200,102,51.0,2.1,1.8,1.486,5.386,1.464,1.638,2.236,5.338,0.9
T00199,winter,0,43,3.25,200,36,18.0,4.3,2.15,2.155,8.605,1.376,1.247,2.15,4.773,44.53
T00200,summer,1,36,23.34,200,50,25.0,2.1,1.8,0.602,4.502,0.84,1.17,0.934,2.944,34.6
T00201,winter,1,23,4.04,200,166,83.0,1.342,1.15,1.114,3.605,1.426,1.414,2.014,4.855,-34.65
T00202,winter,0,37,0.76,200,185,92.5,3.7,1.85,2.26,7.81,3.022,2.451,3.857,9.33,-19.46
T00203,winter,0,32,7.96,200,32,16.0,3.2,1.6,1.277,6.077,0.981,0.896,1.285,3.163,47.96
T00204,winter,0,53,-0.28,200,51,25.5,5.3,2.65,3.368,11.318,1.961,1.736,3.393,7.09,37.36
T00205,summer,1,37,20.64,200,99,49.5,2.158,1.85,0.461,4.469,1.468,1.656,1.37,4.494,-0.55
T00206,autumn,0,35,14.44,200,19,9.5,3.5,1.75,0.906,6.156,0.922,0.866,0.854,2.642,57.09
T00207,autumn,1,43,12.74,200,142,71.0,2.508,2.15,1.271,5.929,2.322,2.387,2.77,7.478,-26.12
T00208,spring,1,29,8.47,200,83,41.5,1.692,1.45,1.126,4.267,0.996,1.182,1.582,3.759,11.91
T00209,autumn,0,49,8.8,200,7,3.5,4.9,2.45,1.867,9.217,1.094,1.066,1.525,3.685,60.01
T00210,autumn,1,33,5.5,200,77,38.5,1.925,1.65,1.493,5.068,1.067,1.295,1.92,4.282,15.51
T00211,spring,1,29,14.03,200,114,57.0,1.692,1.45,0.776,3.918,1.295,1.407,1.556,4.257,-8.67
T00212,summer,0,39,23.84,200,19,9.5,3.9,1.95,0.695,6.545,1.027,0.965,0.685,2.678,59.09
T00213,summer,1,35,21.17,200,122,61.0,2.042,1.75,0.421,4.213,1.657,1.768,1.525,4.95,-17.48
T00214,winter,1,37,8.54,200,188,94.0,2.158,1.85,1.431,5.439,2.565,2.479,3.179,8.223,-51.19
T00215,spring,1,25,16.04,200,78,39.0,1.458,1.25,0.56,3.269,0.817,0.988,0.979,2.783,14.85
T00216,summer,1,55,14.23,200,10,5.0,3.208,2.75,1.449,7.407,1.1,1.237,1.214,3.552,52.05
T00217,winter,0,43,4.72,200,39,19.5,4.3,2.15,2.019,8.469,1.419,1.279,2.073,4.772,43.66
T00218,winter,0,34,9.11,200,0,0.0,3.4,1.7,1.273,6.373,0.68,0.68,0.968,2.328,63.47
T00219,summer,0,46,22.86,200,12,6.0,4.6,2.3,0.722,7.622,1.104,1.058,0.629,2.791,63.38
T00220,winter,0,24,1.35,200,0,0.0,2.4,1.2,1.432,5.032,0.48,0.48,1.076,2.036,59.54
T00221,autumn,0,33,17.12,200,27,13.5,3.3,1.65,0.663,5.613,0.957,0.883,0.722,2.562,54.35
T00222,spring,1,35,11.53,200,110,55.0,2.042,1.75,1.126,4.918,1.517,1.662,1.996,5.175,-5.23
T00223,autumn,1,32,11.2,200,143,71.5,1.867,1.6,1.053,4.52,1.739,1.784,2.161,5.684,-25.76
T00224,winter,0,47,3.4,200,39,19.5,4.7,2.35,2.341,9.391,1.551,1.398,2.38,5.329,43.25
T00225,winter,0,39,3.32,200,70,35.0,3.9,1.95,1.949,7.799,1.69,1.463,2.343,5.496,29.53
T00226,autumn,1,56,16.8,200,66,33.0,3.267,2.8,1.163,7.23,1.605,2.044,1.914,5.563,23.06
T00227,autumn,1,35,12.25,200,79,39.5,2.042,1.75,1.072,4.864,1.155,1.391,1.624,4.171,14.25
T00228,winter,1,32,-3.87,200,154,77.0,1.867,1.6,2.308,5.774,1.856,1.872,3.308,7.036,-21.86
T00229,spring,1,32,13.36,200,39,19.5,1.867,1.6,0.903,4.369,0.64,0.952,1.036,2.628,39.86
T00230,winter,0,22,-3.17,200,10,5.0,2.2,1.1,1.549,4.849,0.513,0.495,1.247,2.255,53.5
